Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.77     0.00  4960116     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.77     0.00  4960116     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.77     0.00  4960116     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      0.77     0.00  4758939     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.77     0.00  4354317     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.77     0.00  4343382     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_ptr()
  0.00      0.77     0.00  4343382     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_addr()
  0.00      0.77     0.00  4205601     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, int>, false>::_M_next() const
  0.00      0.77     0.00  3936600     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::_M_node_allocator()
  0.00      0.77     0.00  3936600     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> >, true>&)
  0.00      0.77     0.00  3903858     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.77     0.00  3808236     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.77     0.00  3761640     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.77     0.00  3623859     0.00     0.01  std::vector<int, std::allocator<int> >::max_size() const
